participant,session,run,trial,t_sec,code,label
sub-01,001,1,0,0.00878,250,run_start
sub-01,001,1,1,0.50984,30,pause
sub-01,001,1,1,1.46552,12,precue_left
sub-01,001,1,1,2.96925,22,mi_left
sub-01,001,1,2,4.47216,30,pause
sub-01,001,1,2,5.97196,11,precue_rest
sub-01,001,1,2,7.47258,21,mi_rest
sub-01,001,1,3,8.97194,30,pause
sub-01,001,1,3,10.47258,13,precue_right
sub-01,001,1,3,11.97242,23,mi_right
sub-01,001,1,4,13.47251,30,pause
sub-01,001,1,4,14.97202,14,precue_feet
sub-01,001,1,4,16.47247,24,mi_feet
